time_s,face_id,x1,y1,x2,y2
156.2,1,306,48,391,175
156.4,1,302,51,387,176
156.6,1,301,51,385,176
156.6,0,478,19,569,196
156.8,1,297,56,380,182
156.8,0,478,19,569,197
157.0,1,294,57,368,182
157.0,0,477,19,569,196
157.2,1,292,51,366,176
157.4,1,293,47,367,175
157.6,1,296,49,372,176
157.8,1,294,48,372,173
157.8,0,476,7,569,192
158.0,1,294,48,372,177
158.0,0,475,11,559,190
158.2,1,358,43,484,235
158.4,1,360,55,474,241
158.6,1,360,50,482,232
158.8,1,362,47,484,232
159.0,1,361,53,480,239
159.2,1,361,52,483,238
159.4,1,360,57,479,244
159.6,1,361,62,481,247
159.8,1,361,61,482,246
160.0,1,358,61,480,248
160.2,1,351,80,469,253
160.4,1,346,81,467,259
160.6,1,345,74,467,258
160.8,1,341,69,463,257
161.0,1,340,69,464,257
161.2,1,339,81,463,263
161.4,1,340,58,461,250
161.6,0,322,52,466,257
161.8,0,331,49,473,259
162.0,0,342,61,488,263
162.2,0,336,58,480,265
162.4,0,333,58,480,266
162.6,0,329,60,474,264
162.6,1,29,35,199,354
162.8,1,34,29,218,357
162.8,0,329,62,475,264
163.0,0,331,65,476,265
163.0,-1,26,40,177,336
163.2,0,332,66,475,264
163.2,-1,0,45,148,300
163.4,1,280,60,409,260
163.4,0,475,4,615,269
163.6,1,281,64,408,260
163.6,0,464,0,617,274
163.8,1,282,62,410,259
163.8,0,458,4,604,275
164.0,1,283,61,412,260
164.0,0,469,29,602,278
164.2,1,284,59,415,255
164.2,0,473,44,580,276
164.4,1,285,61,416,259
164.4,0,474,47,579,275
164.6,1,285,61,415,258
164.6,0,475,45,580,277
164.8,1,285,61,415,259
164.8,0,473,28,603,282
165.0,1,285,61,416,258
165.0,0,473,29,602,281
165.2,1,285,60,415,256
165.2,0,474,29,604,281
165.4,0,521,34,662,252
165.8,0,515,42,661,247
166.0,0,499,49,652,255
166.2,0,484,43,638,263
166.4,0,331,44,479,255
166.6,0,366,51,517,261
166.8,0,380,72,533,268
167.0,0,387,74,552,277
167.2,0,410,95,577,289
167.4,0,404,89,570,283
167.6,0,394,88,564,282
167.8,0,388,82,557,280
168.0,1,248,33,358,209
168.2,1,249,34,357,208
168.4,1,264,36,377,217
168.6,1,321,64,443,254
168.8,1,343,75,475,268
169.0,1,322,59,448,249
169.2,1,312,56,432,239
169.4,1,299,57,422,256
169.6,1,295,58,423,251
169.8,1,295,45,418,232
170.0,1,282,48,405,239
170.2,1,277,46,398,230
170.4,1,280,45,403,226
170.6,1,285,44,412,222
170.8,1,287,44,415,225
171.0,1,289,43,415,232
171.2,1,288,51,419,239
171.4,1,294,50,427,234
171.6,1,317,53,447,236
171.8,1,319,53,452,235
172.0,1,320,52,452,232
172.2,1,131,118,198,213
172.2,0,442,120,506,221
172.4,1,135,121,202,220
172.4,0,442,120,507,221
172.6,1,140,118,209,218
172.6,0,442,119,506,222
172.8,1,143,117,211,214
172.8,0,442,120,507,222
173.0,1,148,117,214,213
173.0,0,442,119,507,222
173.2,1,155,120,221,221
173.2,0,442,121,506,222
173.4,1,165,120,229,220
173.4,0,442,122,506,222
173.6,1,170,121,232,222
173.6,0,440,122,504,222
173.8,1,170,121,233,220
173.8,0,442,120,506,222
174.0,1,171,121,233,219
174.0,0,441,120,506,222
174.2,1,238,46,346,226
174.2,0,462,11,613,283
174.4,1,238,46,346,227
174.4,0,461,12,618,281
174.6,1,254,50,365,232
174.6,0,461,15,617,280
174.8,1,267,49,390,230
174.8,0,460,16,615,279
175.0,1,266,50,390,231
175.0,0,458,-1,614,276
175.2,1,266,51,390,234
175.2,0,475,19,610,279
175.4,0,317,50,464,266
175.6,0,335,51,477,263
175.8,0,331,54,475,264
176.0,0,321,59,467,263
176.0,1,-69,-18,143,324
176.2,1,244,55,351,238
176.2,0,462,15,610,277
176.4,1,238,53,337,232
176.4,0,458,9,620,276
176.6,0,458,8,622,276
176.6,1,242,46,353,229
176.8,1,235,51,338,231
176.8,0,454,1,620,277
177.0,1,233,49,339,229
177.0,0,453,1,616,275
177.2,1,233,49,337,229
177.2,0,454,4,613,275
177.4,1,233,50,335,231
177.4,0,452,7,608,275
177.6,1,104,112,175,207
177.6,0,475,104,547,202
177.8,1,105,113,175,208
177.8,0,474,103,546,202
178.0,1,105,112,175,209
178.0,0,473,103,545,202
178.2,1,105,111,174,208
178.2,0,464,105,538,205
178.4,1,105,112,175,209
178.4,0,444,108,519,211
178.6,1,105,112,175,208
178.6,0,429,114,502,214
178.8,1,105,112,175,209
178.8,0,425,116,497,214
179.0,1,105,112,175,208
179.0,0,423,115,495,214
179.2,1,105,111,175,206
179.2,0,420,116,493,214
179.4,1,106,112,175,206
179.4,0,422,115,494,214
179.6,1,110,114,178,212
179.6,0,419,116,490,216
